,title,album,artist,rank
0,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,AKMU (악동뮤지션),1
1,새 사랑,새 사랑,송하예,2
2,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,장범준,3
3,떨어지는 낙엽까지도,만추,헤이즈 (Heize),4
4,있어줘요,있어줘요,장덕철,5
5,조금 취했어 (Prod. 2soo),조금 취했어,임재현,6
6,허전해,"정규 2집 '마음, 하나'",폴킴,7
7,사랑이란 멜로는 없어,사랑이란 멜로는 없어,전상근,8
8,워커홀릭,Two Five,볼빨간사춘기,9
9,안녕,호텔 델루나 OST Part.10,폴킴,10
10,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (MAKTUB),11
11,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN(박혜원),12
12,가을밤 떠난 너,Rewind,케이시 (Kassy),13
13,Feel Special,Feel Special,TWICE (트와이스),14
14,니 소식,니 소식,송하예,15
15,우리 어떻게 할까요,사랑하는 그대에게 - The 2nd Mini Album,첸 (CHEN),16
16,기억해줘요 내 모든 날과 그때를,호텔 델루나 OST Part.7,거미,17
17,포장마차,포장마차,황인욱,18
18,만추 (Feat. Crush),만추,헤이즈 (Heize),19
19,가끔 이러다,가끔 이러다,펀치 (Punch),20
20,헤어지자 (Prod. 정키),soar,휘인 (Whee In),21
21,2002,Speak Your Mind (Deluxe),Anne-Marie,22
22,Señorita,Señorita,Shawn Mendes,23
23,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",THINKING Part.1,지코 (ZICO),24
24,사랑에 연습이 있었다면 (Prod. 2soo),사랑에 연습이 있었다면,임재현,25
25,그대라는 시,호텔 델루나 OST Part.3,태연 (TAEYEON),26
26,술이 문제야,술이 문제야,장혜진,27
27,사랑이 식었다고 말해도 돼,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),28
28,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,MAP OF THE SOUL : PERSONA,방탄소년단,29
29,"모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,폴킴,30
30,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,31
31,호랑이소굴 (Feat. Jvcki Wai),호랑이소굴,기리보이,32
32,사람,THINKING Part.1,지코 (ZICO),33
33,이별행동,이별행동,이우,34
34,다시 만날까 봐,다시 만날까 봐,V.O.S,35
35,BAND,BAND,창모 (CHANGMO),36
36,헤어져줘서 고마워,헤어져줘서 고마워,벤,37
37,복숭아,스무 살의 봄,아이유,38
