,rank,title,singer,album
0,1,떨어지는 낙엽까지도,헤이즈 (Heize),만추
1,2,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",헤이즈 (Heize),항해
2,3,새 사랑,AKMU (악동뮤지션),새 사랑
3,4,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,AKMU (악동뮤지션),멜로가 체질 OST Part 3
4,5,있어줘요,송하예,있어줘요
5,6,조금 취했어 (Prod. 2soo),송하예,조금 취했어
6,7,허전해,장범준,"정규 2집 '마음, 하나'"
7,8,사랑이란 멜로는 없어,장범준,사랑이란 멜로는 없어
8,9,워커홀릭,장덕철,Two Five
9,10,안녕,장덕철,호텔 델루나 OST Part.10
10,11,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),임재현,Red Moon : To You My Light
11,12,시든 꽃에 물을 주듯,임재현,시든 꽃에 물을 주듯
12,13,만추 (Feat. Crush),폴킴,만추
13,14,가을밤 떠난 너,폴킴,Rewind
14,15,Feel Special,전상근,Feel Special
15,16,니 소식,전상근,니 소식
16,17,우리 어떻게 할까요,볼빨간사춘기,사랑하는 그대에게 - The 2nd Mini Album
17,18,포장마차,볼빨간사춘기,포장마차
18,19,기억해줘요 내 모든 날과 그때를,폴킴,호텔 델루나 OST Part.7
19,20,헤어지자 (Prod. 정키),폴킴,soar
20,21,호랑이소굴 (Feat. Jvcki Wai),마크툽 (MAKTUB),호랑이소굴
21,22,가끔 이러다,마크툽 (MAKTUB),가끔 이러다
22,23,2002,HYNN(박혜원),Speak Your Mind (Deluxe)
23,24,Señorita,HYNN(박혜원),Señorita
24,25,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",헤이즈 (Heize),THINKING Part.1
25,26,사랑에 연습이 있었다면 (Prod. 2soo),헤이즈 (Heize),사랑에 연습이 있었다면
26,27,사랑이 식었다고 말해도 돼,케이시 (Kassy),사랑이 식었다고 말해도 돼
27,28,그대라는 시,케이시 (Kassy),호텔 델루나 OST Part.3
28,29,술이 문제야,TWICE (트와이스),술이 문제야
29,30,사람,TWICE (트와이스),THINKING Part.1
30,31,이별행동,송하예,이별행동
31,32,BAND,송하예,BAND
32,33,작은 것들을 위한 시 (Boy With Luv) feat. Halsey,첸 (CHEN),MAP OF THE SOUL : PERSONA
33,34,다시 만날까 봐,첸 (CHEN),다시 만날까 봐
34,35,"모든 날, 모든 순간 (Every day, Every Moment)",황인욱,`키스 먼저 할까요?` OST Part.3
35,36,bad guy,황인욱,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
36,37,우리 시작해도 괜찮을까요,거미,우리 시작해도 괜찮을까요
37,38,나의 어깨에 기대어요,거미,호텔 델루나 OST Part.2
38,39,헤어져줘서 고마워,휘인 (Whee In),헤어져줘서 고마워
39,40,벗,휘인 (Whee In),벗
40,41,헤어질 자신 있니 (Narr. SBS 박선영 아나운서),기리보이,헤어질 자신 있니
41,42,Done For Me,기리보이,호텔 델루나 OST Part.12
42,43,내 목소리 들리니,펀치 (Punch),호텔 델루나 OST Part.9
43,44,일기,펀치 (Punch),만추
44,45,사월이 지나면 우리 헤어져요 (Beautiful goodbye),Anne-Marie,"사월, 그리고 꽃 - The 1st Mini Album"
45,46,달,Anne-Marie,항해
46,47,너를 만나,Shawn Mendes,너를 만나
47,48,널 안지 않을 수 있어야지,Camila Cabello,사랑하는 그대에게 - The 2nd Mini Album
48,49,Speechless (Full),Shawn Mendes,Aladdin (Original Motion Picture Soundtrack)
49,50,내 안부,Camila Cabello,내 안부
50,51,날라리 (LALALAY),Shawn Mendes,날라리 (LALALAY)
51,52,사계 (Four Seasons),Camila Cabello,사계 (Four Seasons)
52,53,솔직하게 말해서 나,지코 (ZICO),솔직하게 말해서 나
53,54,복숭아,지코 (ZICO),스무 살의 봄
54,55,가을속에서,임재현,화실(化-室:atelier)
55,56,내 맘을 볼 수 있나요,임재현,호텔 델루나 OST Part.5
56,57,노래방에서,먼데이 키즈 (Monday Kiz),장범준 3집
57,58,가라사대,먼데이 키즈 (Monday Kiz),The Movie Star
58,59,FLASH,태연 (TAEYEON),비상 : QUANTUM LEAP
59,60,꿈속에 너 (Feat. 전상근),태연 (TAEYEON),두 번째 이야기
60,61,DAUM (Feat. Colde),장혜진,만추
61,62,그때가 좋았어,윤민수(바이브),그때가 좋았어
62,63,ICY,장혜진,IT`z ICY
63,64,전화를 할까봐,윤민수(바이브),전화를 할까봐
64,65,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)",장혜진,쇼미더머니 8 Episode 1
65,66,DEAR LOVE,윤민수(바이브),RENDEZ-VOUS
66,67,너에게 못했던 내 마지막 말은,지코 (ZICO),너에게 못했던 내 마지막 말은
67,68,Paris In The Rain,지코 (ZICO),I met you when I was 18. (the playlist)
68,69,괜찮아도 괜찮아 (That`s okay),이우,괜찮아도 괜찮아 (That`s okay) - SM STATION
69,70,나빠(NAPPA),이우,나빠(NAPPA)
70,71,FANCY,창모 (CHANGMO),FANCY YOU
71,72,FREEDOM,Hash Swan,항해
