,goods_title,goods_url,goods_img_url,goods_price,goods_cat,spec,review_count,star_point,created_at,nvmid,is_ad,chpid,keep_count
0,애플 에어팟 2세대 유선충전 (MV7N2KH/A),http://cr2.shopping.naver.com/adcr.nhn?x=dmlt%2BeC%2FIZnLSYqCuDiEw%2F%2F%2F%2Fw%3D%3Dsy252%2F5APCDI6sPMLqdl%2FzeE%2ByyAmQ9x%2FR0kyMqZatvhFxXq5RRrAbf2VfWG%2F%2B5KyG3FTuSabimQcXadx6gMDifJozvsg3RgcBeele%2BgCodJpOMV%2FVMpBMPerVw3rrKOj9HfrToLB%2B7smwXFR6IHuaIYlFAdf1OFsetsPTCIBnAs9DjdP86FOmBYD8KQqXSY%2FncdTCtt%2F7lJTxN9Crar7aGVgIqH44kupCBw98666579Bujm4MX42wGoUmDg%2FfMJZn4uC5Vw0Cyqfuwfx9OHQ1fiEVUaghBiTRZLmcSQRXUzUeXa8sMOm%2Fw%2FIwVfkZNoMzOQHxQcnl1ni2z%2FuQqAxpGM5ywTNbvkDUq403b3HrmOv1Qo7fM3J%2Fe%2FVhnj5JjQePvR5S3MHMC%2B5X9IQfTqkGmR2%2F2OpnSCA1oFvopKoEUgdYg%2BpNYu6zVojmz%2B0MnslWlc3GU8aKcnUL4GPvJkMtNhmPfoHtyjK5o6ZRJDo3Ezm3JcSERcasXm6F5Jr3gRnL%2FzNN8WO%2FBz8oyfJ9hHa5Psu%2BATfiGvqUR3U7Wnmc6mBeJ4godZtaVH0MWB1JduemjM8uPl4CGWehrQz9anenDlF4yRaLiecz2rtHRT%2F4YvcNv7YKvSU%2B6FVFiNXvW172xdJ2VAgqqT5wTXJHNGmCfV%2Bfr2ImTWatmjM4eBxUXrL8owKMh5kzzgOxohVjlPcj5f2GL1%2BHjullhYbgFWygQ%3D%3D,https://shopping-phinf.pstatic.net/main_1862208/18622086330.20190411143246.jpg?type=f140,89400,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'종류': '이어셋', '무선방식': '블루투스(애플H1칩탑재)', '통화': '3시간', '구성품': '충전케이스포함', '단자': '라이트닝', '품목': '무선이어폰', '부가기능': ['가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '자동연결', '상태표시LED', '터치버튼', '자동전원', 'Siri호출(두번터치,음성)', '듀얼빔포밍마이크'], '용도': '통화+음악(스테레오)', '음악': '5시간', '착용형태': '오픈형'}",11192,,2019.04.,18622086330,False,,4487
1,애플 에어팟 1세대 (MMEF2KH/A),http://cr2.shopping.naver.com/adcr.nhn?x=Et7RnSXfhVn9yIKQjpoPqf%2F%2F%2Fw%3D%3DsPo6vEsMAbwPeYeI5qi6aWQEQrL6MvdnUnnVanhzYSCtFxXq5RRrAbf2VfWG%2F%2B5KyYNV4c9ZvhgeDd%2BOwyR3eXvJozvsg3RgcBeele%2BgCodJpOMV%2FVMpBMPerVw3rrKOj9HfrToLB%2B7smwXFR6IHuaIYlFAdf1OFsetsPTCIBnAs9DjdP86FOmBYD8KQqXSY%2FncdTCtt%2F7lJTxN9Crar7aOcjN47P6jnGKPHwLWyir%2FdBujm4MX42wGoUmDg%2FfMJZn4uC5Vw0Cyqfuwfx9OHQ1fiEVUaghBiTRZLmcSQRXUzUeXa8sMOm%2Fw%2FIwVfkZNoMzOQHxQcnl1ni2z%2FuQqAxpGM5ywTNbvkDUq403b3HrmOv1Qo7fM3J%2Fe%2FVhnj5JjQePvR5S3MHMC%2B5X9IQfTqkGuGda2ty3PJA6aFabJd7i%2FwdYg%2BpNYu6zVojmz%2B0MnslWlc3GU8aKcnUL4GPvJkMtPaFBTiO5U7X22l2BRQ8NSTm3JcSERcasXm6F5Jr3gRnZglq5HUunzNLPo%2FzC1ksI4YsBqSnVEsahGU2EpHnLmUYa8s7%2B5ZtaqMwk00tfJ0q8F88Z%2BgUufTQCbIlan5sg3Knk6RxFcQmdJAB%2BODwszJLPvhjUrbu%2BQetR7aEp%2F44M5HbYGQRP9Lxzykl0cvzjAJnXuLL%2FbZIucVOfFno9i4e6yvlD80qgSZhMC%2BQCzrS,https://shopping-phinf.pstatic.net/main_1077690/10776906666.20161214174829.jpg?type=f140,144900,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'채널': '스테레오', '무선방식': '블루투스(애플W1칩탑재)', '구성품': '충전케이스포함', '품목': '무선이어폰', '음질개선': 'AAC', '부가기능': ['Siri호출(두번터치)', '빔포밍마이크', '가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '터치버튼', '자동전원'], '용도': '통화+음악(스테레오)', '음악': '5시간', '착용형태': '오픈형', '색상': '화이트계열'}",11603,,2016.12.,10776906666,False,,3166
2,애플 에어팟 2세대 무선충전 (MRXJ2KH/A),http://cr2.shopping.naver.com/adcr.nhn?x=OIa32hvtM0CAAy7f%2B3INlv%2F%2F%2Fw%3D%3Ds6Fc9gx4%2B%2Bocv57vmguuYEYP45iir9fqH0CFIyvefKu7wMHFVfyRR41kkqop4BBe7iRadRd3nug3tb41SyMexkWm8XeYjj4AayeYt52%2BF82tmPzQ1tsLPdqNS1AlGc4g4mhP9nBtMn21oif6e84DJltqUHsgHKRqzd6nX3jcvUwO6RA0f68zham6jdqM6sDWqLz75gk1EG4UZpzYdGtJKbU3pDpecj%2Bxn3YW5PjlxOJf52L1fz3LnBKJ7aSn%2B2ztI1f9kwyr2EwbGnOvvs38961IqT%2F%2FjR1hbddIADbolKEkSFt7i3nRyDgFM%2B5hYHIBZjckNvZgGVJPIKj7DQ%2BFgqh3fIBMPZc5fkShT%2BAFLZ7RG6WxmL6JlLJQ15ICOAJLBSBb58biM6Ziir%2B%2FjWgtTHmZUz709uAEE3AeWiaOIW1F9lMgB%2F%2B8iYRxbudz7RFGE6z0iAiMOPVJ9Fwxepb%2BDrlgsca8793PF5ELuipHSAWdl410yQoVUuKGfhcEsQh9wDWaAkHfMpyu91COEPH3jwsOmyacmyibXOcYGIVONSRCg7H9iNKR4na0HNtJtmMxMfRe9CBUWYx7sCxM9IdZr7hlYv8pknayfbf1wA17c22Kf4fauC6QGtus8tmJ25%2Ftp5D7Yi7%2B0C1lFurN%2Bp%2BkoC2U2OsPB8yZbkLWpwTCK%2B3DL9vAxrsHK%2FqUUbx%2BJRSxwlSc340AaK3l4ytFdnqSEkQ%3D%3D,https://shopping-phinf.pstatic.net/main_1875485/18754856889.20190604114645.jpg?type=f140,82900,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'무선방식': '블루투스(애플H1칩탑재)', '통화': '3시간', '구성품': '충전케이스포함', '단자': '라이트닝', '품목': '무선이어폰', '부가기능': ['가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '자동연결', '상태표시LED', '터치버튼', '무선충전(Qi인증)', '자동전원', 'Siri호출(두번터치,음성)', '듀얼빔포밍마이크'], '용도': '통화+음악(스테레오)', '음악': '5시간', '착용형태': '오픈형'}",3652,,2019.04.,18754856889,False,,2579
3,애플 에어팟 왼쪽 오른쪽 단품 한쪽 1세대 2세대 당일발송 국내정식발매품 에어팟2 2세대,http://cr2.shopping.naver.com/adcr.nhn?x=0gJJB8niVFoRIQd%2BE0hjn%2F%2F%2F%2Fw%3D%3DsW84ahFdc1IQ6r4MheDQPbRyq3GVOwBhXFgfhDqjvnaZFxXq5RRrAbf2VfWG%2F%2B5Ky3v7acQujvQQd3Cumo3dmyfJozvsg3RgcBeele%2BgCodJpOMV%2FVMpBMPerVw3rrKOjSUx0aYgy%2BpNuSJuaHMAeCci0wzOxWXCLD2awDGTyPqliGVPbpNF3tDCUPhZDX5itCWVu7%2BcTYM%2Btk%2Bu95tdzNMdHC%2B5j%2BNUXNAjZd%2FETzrKlopbpieagPRoipJ%2FEZ19DagiK5o1NShQDksdLRQC9a2wx1KUZJVUHxfedy68wMUpttycEuMw4UbT82NkasIDUaG6MNBMtsSrOb7zoSNt7dc6AXJ5gzkgiRb4xdihRWRSpVPivptNfoJOSg0QA77RzpCJSN0HB97R659VhiShCQsL8P9FUOnkyJvQwaijn72V3ogM6NVKwKHdp4QxMMOJlgNPwUJusKPbQQsop2qb82zn5UDlEVBGw7Cij9pWv9g43FlCREgw6oTzlhY5Y1NfDhGsA2VnkAe5zlWyBlcOWYy8RK2cPaJ%2BGwN8wByfOLBWnLPhA7Th8Lc2uT1Z%2FGyxNeHko4A4aUK2fUVv9rFsI4ki61uVUntWKpMxGzxLrphRFy%2BK6VIOTRdD6joPUR3g9ficnVAC9XlnFR0aYsQ1wfZamjzBq23o4MzE2lX1RSyABGeAItczaZGCFPNMxGbWjoleHh%2F9FiZcG3XhtQYoEGvHzIHfsBPcB0A9W7I8O7HgPQh5v%2BppxBd6xQAS6Bo17fTYW19zuxIJA1vaPvbYCOw%3D%3D&nv_mid=81946053258&cat_id=50002334,https://shopping-phinf.pstatic.net/main_8194605/81946053258.jpg?type=f140,67000,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'종류': '이어셋', '채널': '스테레오', '무선방식': '블루투스(애플W1칩탑재)', '품목': '무선이어폰', '음질개선': 'AAC', '부가기능': ['Siri호출(두번터치)', '가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '빔포밍마이크', '자동전원', '터치버튼']}",796,,2019.03.,81946053258,False,4401530808,643
4,[MLC] 애플 에어팟 2세대 유선/무선충전,http://cr2.shopping.naver.com/adcrNoti.nhn?x=fI57JNXQFiS6glczlkq6%2FP%2F%2F%2Fw%3D%3Ds0FHGyhbYw5Ez1neb%2FBQPJciLjvWw83RmE13U%2BRcQtbNFxXq5RRrAbf2VfWG%2F%2B5Ky3KVm7G4Licets5fCyJIJKvJozvsg3RgcBeele%2BgCodJpOMV%2FVMpBMPerVw3rrKOj4QtEncVPPL4gQwX5OPhLazOr5UE3vmy622SpZfwzc7Nn3jgXUFz1f4SHtyzz6haexH9W3P%2BWaYb8K5GJFjj4J2q1CwXakpQvdzhCwfKeNawNtvmkR9AXSVzSVIC3GMCvUtDJRPWYadGXXsZSxq0ev0vzvg%2B7Sk2187HPMvJEPpXk4oXA3iFAY755ljS1bRab%2FVf%2FA1zsophg6Q4VlVsnlkQpm6Pbb%2F5cLYOn%2FiQyaYq%2FmDX3aEdZyrT0EY3NWxrSgEc7bJxtZnzU%2B91H2Q4mO5oclMOPOWsoUo8Lsi8howOWtTcD9ez1M%2FvyZQlnMHUenpLoLkrkMFDyu%2F4cz8UqNM7sbHkDu8NAcNySzBrup7JuUdkkPaAEDMVcG0%2BZS2FXV96yIH%2Fhquup2rB8A9gVK2mcX4Atyqh8JNlSqJZvE0XClvEG%2B5MPLZIzZSisu1PrP0U%2FK%2FT%2F9fNWxumANOAOtsOXJq3%2FGpZQ2LRpMHNdo9YAX6%2FdFqOv%2FH4wnOdiohJZiUH4shANqYV3QXlgJ%2FvBTSBGsrHT74VxDax8OG7BCIM%3D&nv_mid=19739090251&cat_id=50002334,https://shopping-phinf.pstatic.net/main_1973909/19739090251.jpg?type=f140,179450,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",{},497,,2019.06.,19739090251,False,57360784,0
5,국내정품 에어팟2 세대 AirPods2 오늘출발 내일도착 우체국 당일배송 리뷰이벤트진행,http://cr2.shopping.naver.com/adcr.nhn?x=jc0laGKPb4Si8Ai0hdxnTf%2F%2F%2Fw%3D%3DsDCnzw2oCJdY%2FFn4vAAyjMFbux0jnPa45pFedKbNAd11FxXq5RRrAbf2VfWG%2F%2B5KyB%2F%2BrzzBizQL2yDR8fOx0uqP2zIuAE9wYA1SCge86cLgWWkSX2DJIGOwmoeevc%2Fg214DJ7XGqf4hw8E4uBtBgAmH%2Fqbw2XliYZy%2FRJK8Q0XC90%2B%2BBK6Y9Gu9%2FdLwiilMnHAV%2FbSwEaWHtz1dAXbehM2KkctnxA3ZZZY94RXwtiyob7VizCqezlc4vsFbXfnti4LBYhASul5xoHn6kheqgcBkaKX7pTvXs6WG1e2oAbVUJueU4IrtA8gm9JImwcuedMa4IW3IcVA31DY1Om90iKzvgzhpTs7DWMQgyxxN1khu1f%2BKGA8vzAij2ckrnn33DEKiam01JTGRiD3qZa5jYLo2qXSiA%2FaHyz5APprWCJsc93BwU7aANgmGoGO%2BSsQjrSLIfe15n3F6m%2BTIfjC4Kiu%2B8tsz3M%2BA6NofhSoyyp7LvodK9cM8ZdVJ1wjz%2F0ajdUPuQgM6OCn62Jko1R3LFWNBjrzZkZMpcIYVRVImDR9hHPiNuswGLFH7AnWIISKPtd4p9B2kaOyI4Vlbm2z0l8lkdEHWMLeT9TcCTLPWyWnlYOFjNzAftMReknJIuUCHjx2UVW9aDQPT7Pxl7ZbtHKFszRKOh9qZLF1qWbjh4arbI1hFX0X7QUVuuqXYWTsVwmYgj6ceu8k%2BY85pKeuKzXFVqUEHdZprExMbpfzXJOO8xO54xr5a%2FQeeQBainVS8mSp2ZdNqy%2FCQu%2FkIgUSpNTg%3D%3D&nv_mid=82003872939&cat_id=50002334,https://shopping-phinf.pstatic.net/main_8200387/82003872939.8.jpg?type=f140,179900,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'종류': '이어셋', '채널': '스테레오', '구성품': '충전케이스포함', '단자': '라이트닝', '품목': '무선이어폰', '부가기능': ['가속도계센서(동작,음성)', '광학센서', '급속충전(15분충전시3시간재생)', '상태표시LED', '자동연결', '자동전원', '터치버튼']}",1864,,2019.04.,82003872939,False,4459350185,3106
6,차이팟 에어팟 TWS i7 i9 i12 블루투스 무선 이어폰,http://cr2.shopping.naver.com/adcrNoti.nhn?x=LqrjOkpA%2Fu6SYImlb7%2Fpo%2F%2F%2F%2Fw%3D%3DsEQCUcnIhOj5roduVzo6ecRSFMuZhShxT7fynyK7%2FuCXwMHFVfyRR41kkqop4BBe7XGrcSpClb0YKJCbArdqepSarGbeyB6eTx7XqAL%2B7D8XrKz8o7tuc9Ij0b187ydbL6IoAkhcwn%2FPZvN%2Fk6vIHjX%2FH24q587VJP9JjnjKAVklQHKAufQ3Hbsz4ONKyknMDqr8c7d7rgbgqYRCUwqKPE8SIn3FUFHUcxhpYPuH2OnZqtQsF2pKUL3c4QsHynjWsDbb5pEfQF0lc0lSAtxjAr1LQyUT1mGnRl17GUsatHr9L874Pu0pNtfOxzzLyRD6VQmlsK7Y%2BLt9CbVKYpgaq%2BbwaF9%2FJyi%2BCaAcJSY4uPtrjJ%2Bi3%2F9pHgPPoW9Y5jWKZr3dDb%2Bj%2F4TJo9ioJWHRguLXjWECN5cAiNXmKgbr%2Fa%2F%2BsG0A7LeNPtZ3Tjvx1%2BoplOIvBYZAogImO5hhJ4Yft%2FAi%2BUeYnr9nuShp2QCjMHqC9eNJ8TZJR2tjD%2BVRilCr7DnM7viXo6RSzKnVL5Eo59oOVokvWXtfreTqUKjN5QoP8BXN60xUWRSeSEbah3pUA9MOefGE8Y5FlX0fc0OpOeXizemr3fwl%2FY2ZpFZq6bVBLI7wmKh7d%2BODdEZWfhP4yr%2BDblUoR5ql6opN76Om8loKxmtDo8c0ct5X6qc8%2BB5e9XfpNofn2Ob8WBNd7WFb3Ax3vTX3vA2N5iwtHqwkD6A%3D%3D&nv_mid=19562859308&cat_id=50002334,https://shopping-phinf.pstatic.net/main_1956285/19562859308.jpg?type=f140,17500,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']",{},75,,2019.05.,19562859308,False,6588380264,0
7,요이치 에어 포스 팟 무선 충전 2세대,http://cr2.shopping.naver.com/adcr.nhn?x=4e2ckmyXtuFqOO16wngEsv%2F%2F%2Fw%3D%3DsGMBnvUmSbH8Jl%2BU3Ss6kbgN%2F5nG2CJ4A2q1njMuB1FVFxXq5RRrAbf2VfWG%2F%2B5Ky0uFFTnXnIk4T0pBPs45wrKP2zIuAE9wYA1SCge86cLgWWkSX2DJIGOwmoeevc%2Fg214DJ7XGqf4hw8E4uBtBgAql6LyjznO%2FsH0Pfuqo3X758MBF3C2a0tFRJZWgm8n545fmJ%2BUcM91%2FRi6Py4yRgREipKw%2Bhg%2Fu81cd%2FzSxZoNnAXu1gKwBOeSHkfEMTHynOf99YsU%2FZGKSPtBk60S0okjw3QY3t52BZDVrE9neua%2BzjJLyrr8Kpd%2BM%2BwMfdZJ5Jk4aqDmUHS1BGh9SiuJPrJmVyf4fEeIwpi1WJR%2F5%2FpRf41b1TvfQyNa7hciW%2Br3JhZZiQcNYjXmUeAMkutJpC7TZmJGXHPZWxcBKJzVgN0atAL2MQXhYbmPCCS1SXjU%2Fv4uo%2BmqFwaC%2F39hswH72uptQV%2F0G0Fbpoe9g9IQOKSIAuJl6249h2e77v1ElBwqxIgQtOMDZk1gol7RXoi5QqkfCyRRbrFP0GTxEbpyDxo1lqk0A5E2VH8WW5ldUWg09ZyRQT7KRB2Zpg4dwpyizPKJFfbl4%2FtMwBeSuEgppj4i%2F%2FLtUu%2FqM%2Ff1nB72bAbHXLLVxAAkwLbHg36ORO%2FKJSxW2%2BUw0yFHK1wi7GgJFBiSF2bnsedJBa9VjySRIAhEnZ7CWpQIcqnsemGvoqSBgE3w%3D%3D,https://shopping-phinf.pstatic.net/main_2099111/20991114077.20191001085448.jpg?type=f140,39800,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'종류': '이어셋', '무선방식': '블루투스5.0', '구성': '단품', '통화': '2.5시간', '구성품': ['케이스포함', '충전케이스포함'], '음압감도': '103dB', '저항': '16Ω', '기타기능': 'LED상태표시', '단자': 'USB Type-C', '품목': '블루투스이어폰', '음질개선': '통화음질개선(CVC)', '부가기능': ['Siri호출(두번터치)', '음성명령', '상태표시LED', '이어폰보관(자석)', '핸즈프리', '터치버튼', '자동전원', '배터리잔량표시', '무선충전'], '무게': '6g(이어폰),29g(충전케이스)', '조작기능': ['송수신스위치', '터치버튼'], '리모컨': ['마이크(통화)', '음악재생', '볼륨조절', '전원'], '사용범위': '10m이내', '대기': '100', '용도': ['통화+음악', '통화+음악(스테레오)'], '배터리용량': '45mAh(이어폰),300mAh(충전창)', '음악': '2~3시간', '주파수응답': '20Hz~20000Hz', '충전': '30분', '착용형태': '오픈형', '색상': '핑크계열'}",177,,2019.10.,20991114077,False,,148
8,애플 에어팟 2세대 유선충전 케이스,http://cr2.shopping.naver.com/adcr.nhn?x=518zpYaWnDre78oQhhZNNP%2F%2F%2Fw%3D%3Dsj7Kxs2Isr2ImJGGAhcKPMubbn2ILPJ7rb8NTEZiWz7HwMHFVfyRR41kkqop4BBe7cirWa%2FivCut9I7nf48eIqyarGbeyB6eTx7XqAL%2B7D8XrKz8o7tuc9Ij0b187ydbLzTJpMDkwSrrn4L0FQH4DzmM5ywTNbvkDUq403b3HrmOgL3H8K50yxowtGGzJXMBSPgmdnwEFEDI7yIrF9esOczBPLGfyyq4Q7Tku8%2FQTDnI%2FN64mlPZWDdIWzu8WT%2B0bUghsueFhLhmO26gme%2BdAx8sP3PjgD1pF4Y9jg2jHOR1utIAK8463LVa6HQmTjYBo3Tg2Ry0vHLJhIAih9EB8%2BoLIaHrl4IE1YXfYsjwXrI7DY271zd1sYmrtIel2dncsjvvCkGcmSbUp1pZfxtP8EovRVbAESChaODBFpll9%2BD19lMgB%2F%2B8iYRxbudz7RFGEqdVJFsUyNZ5UyrhBJWfbZWklV8E%2FyXJC27zcjm%2BNMw9l410yQoVUuKGfhcEsQh9wDWaAkHfMpyu91COEPH3jwqz5uBTofcYTW1BSYrVbnv4Hg8339rlD%2FL8dwLs%2BsnFCne0ra9UeFYjQE42AqdT0LVYJCIk2vV19XLjFcK90XSVV4IXBHV8t38WMd%2FxY8y5vN9I%2BO8kEeVNaaRZkTiSIfOI%2BWipgnKl86sLo8QavhBVValBB3WaaxMTG6X81yTjv9be9wbYcbEBcKJt4GPszdw%3D%3D,https://shopping-phinf.pstatic.net/main_1834434/18344345265.20190327152714.jpg?type=f140,115900,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'종류': '이어셋', '무선방식': '블루투스'}",1458,,2019.03.,18344345265,False,,1201
9,당일발송 애플 에어팟 2세대 한쪽 왼쪽 오른쪽 유닛 본체 충전케이스 애플코리아정품,http://cr2.shopping.naver.com/adcr.nhn?x=ayYJJKg3L6gxlmeD46ok9P%2F%2F%2Fw%3D%3DsAUUYe3IIs0YbXp%2BGS6OWyWTCZTc5ZAnf8qrPkuKMCo%2BX2Vp5lJDj17PFAuvRflaOBBC0cvm7NW0Dzh2iI1tzUCarGbeyB6eTx7XqAL%2B7D8XrKz8o7tuc9Ij0b187ydbLu87aUbBoSxGLXNba29CvtBivXo8nvsOCjtt7m%2Bh%2F%2F7AY9mCFl%2FGf92aZSbVpKypp6VFuAElOof2%2BUSIoVkjg8WbXCjUB06Mpqj2q3zEi6ED4FjQLKtgpdaxOC6%2FeJ5KosPFNkchYwWiua4avTMsWHwiYEwwcvvIEUmaBkeOxPOvHhwQy5geX6kUGUZKYwirroMuyjq2TAL6Qa4i7abMoVOMn6Lf%2F2keA8%2Bhb1jmNYpltIt9E6TugMjeqRZ0%2FWxXDx3x49lzgWmizMlREC%2BhEbT2irKynsx%2BIhxRcKE%2B0b2%2Bk06LiucO9snagEpdcs0RkEAPThGJZzAipDtJE0UnwuQt3ohuogqWckZPJSO2qSVQDh0FYOgPBjiyItQDmL5hbxWX7yJtNFFvSMPV11NEMH%2FWfVTsn4puhGVQVKI4W8waxemN5sTx7HPh4WpWb0gdvQkq4BxgNlPjuLmogIAHtcK329n77BBOLG3Cw9mtj1bQb5azZTdNmRM%2FwDvo1Xq3Di7klCdZcHnH%2FZfKErksa0bnKGPOKDDXrc7e6kCHBug7A0346s2MzcYntWT%2BXkGux9bav9TnKhO8XQx5zm4d5wHjFHZiicWqnwsW7OTBfXgJaMSMeLcF50keVxqrzXddosZRP2U5mksp4%2Bfqy%2BkAixw%3D%3D&nv_mid=82180951465&cat_id=50002334,https://shopping-phinf.pstatic.net/main_8218095/82180951465.5.jpg?type=f140,67000,"['디지털/가전', '음향가전', '블루투스셋', '블루투스이어폰/이어셋']","{'종류': '이어셋', '채널': '스테레오', '무선방식': '블루투스(애플H1칩탑재)', '구성': '단품'}",300,,2019.08.,82180951465,False,4636431014,201
